PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
36.6906,18b95f167fc9b8372f9a324800b56da0,LIBERTY COUNTY COMPLEX,GA,LIBERTY,False
22.2222,0c978a6cc7963b5e59dbbea5414b60fd,GWINNETT COUNTY FAIRGROUNDS,GA,GWINNETT,False
82.7316,2c94f25b59f4a9470bd78c7e4680c228,A11 SMYRNA- COMMUNITY CENTER,GA,COBB,True
58.62069999999999,1bde39674434d7f1f810e0c97319cc27,MIRIAM MOORE COMMUNITY CENTER,GA,CLARKE,False
79.538,129b873e84b9bb3fcc099e97130c291f,1260- DOG RIVER LIBRARY,GA,DOUGLAS,False
18.4211,a0b06bf121fcce781314eac48ce2824d,GSW GOLF AND CONFERENCE CENTER,GA,SUMTER,False
17.5676,6ed45e49b24bb16a1da9b7b40bd75220,MACON BIBB COUNTY BOARD OF ELECTIONS,GA,BIBB,False
31.8182,d135b97b9527fa752f14c9cf0b64f3a2,WOODBINE SATURDAY VOTING,GA,CAMDEN,False
72.3776,22c7be770b34b28182afecb6f4ac1057,LOCUST GROVE LIBRARY,GA,HENRY,False
29.648200000000006,81a3b1824136f6090787332ab9f6187e,COURTHOUSE ANNEX,GA,COLQUITT,False
19.697,384a5c861c2559c59fac451ee79fce70,DAWSON GOVERNMENTAL BUILDING,GA,TERRELL,False
30.2564,eed4517f6bbfa8c8aeebc1f464b86d8a,FAIRVIEW RECREATION CENTER,GA,HENRY,False
33.3333,45f155e6facfe6bc69ed069415a43833,0785-BOUNDARY WATERS AQUATIC CENTER,GA,DOUGLAS,False
75.0,776489b7b48c1665a9a7d20f597ec040,BOARD OF ELECTIONS OFFICE,GA,CLARKE,False
46.7927,b0a3d2f8c69c2263ed0d6caff6ee74f3,MOUNTAIN PARK ACTIVITY BUILDING,GA,GWINNETT,False
74.4589,0930c246b201f3f0cfc46e768d40e409,SOUTH CLAYTON RECREATION CENTER,GA,CLAYTON,False
